Player,Country,Agents,NumAgents,Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
cass,ID,breach,1,146,181.1,0.9,75%,113,0.7,0.25,0.05,0.04,23%,11%,Feb-19,20,102,113,37,7,6
Klaus,KR,"viper, cypher, killjoy",3,296,185.4,0.91,66%,121.9,0.66,0.25,0.1,0.08,32%,10%,Mar-31,19,196,215,73,31,25
HestiA,KR,omen,1,98,188,0.83,69%,125.7,0.63,0.36,0.08,0.09,37%,,0/14,23,62,75,35,8,9
Naksu,MY,"yoru, jett, neon",3,152,202.1,0.9,63%,133.9,0.73,0.22,0.16,0.17,39%,33%,04-Dec,27,111,123,34,25,26
thief,US,"vyse, cypher, raze",3,453,187.2,0.92,69%,122.1,0.67,0.16,0.1,0.09,24%,14%,Aug-59,20,304,332,73,45,40
HyP,FR,"viper, cypher, killjoy",3,155,155.3,0.79,65%,109,0.55,0.21,0.08,0.09,24%,15%,Feb-13,19,86,109,33,12,14
MattZ,KR,"viper, omen",2,130,191,0.86,65%,128.3,0.67,0.25,0.08,0.11,32%,5%,Jan-20,19,87,101,33,11,14
woddy,BR,"breach, sova, tejo",3,138,165.6,0.81,70%,121.7,0.55,0.22,0.05,0.05,34%,,0/14,18,76,94,31,7,7
Pinky D,AR,"jett, raze",2,107,205.2,0.79,60%,142.3,0.69,0.14,0.16,0.14,31%,11%,01-Sep,28,74,94,15,17,15
yuran,JP,"cypher, killjoy, omen",3,309,184.4,0.85,66%,122.8,0.66,0.22,0.07,0.14,28%,16%,Aug-51,23,204,239,69,22,43
yong,KR,"omen, raze, neon",3,294,202.1,0.9,67%,131.8,0.7,0.19,0.18,0.14,28%,23%,May-22,34,205,227,57,52,42
Chillin,CA,"omen, viper",2,199,180.1,0.87,70%,123.4,0.66,0.39,0.09,0.11,28%,19%,Apr-21,27,131,150,78,18,22
aluvily,US,"killjoy, fade, cypher",3,103,201.4,0.85,67%,138.7,0.7,0.28,0.05,0.12,22%,22%,Apr-18,23,72,85,29,5,12
nassita,TR,"jett, raze, neon",3,135,207,0.89,67%,143.7,0.7,0.2,0.17,0.11,22%,,0/6,28,95,107,27,23,15
Pr1ck,VN,"sova, fade",2,150,157.6,0.83,63%,109.3,0.58,0.15,0.05,0.03,28%,17%,May-29,19,87,105,23,7,5
Storm,VN,"chamber, viper, killjoy",3,150,172.7,0.78,56%,120.1,0.61,0.19,0.06,0.07,27%,15%,May-33,19,91,116,28,9,11
Sway,IN,"neon, jett, raze",3,176,224.9,0.84,70%,145.6,0.7,0.27,0.26,0.25,21%,,0/8,26,123,147,48,45,44
Wojo,US,"reyna, sova, killjoy",3,108,193.6,0.84,68%,132.8,0.69,0.19,0.11,0.06,37%,,0/11,24,74,88,20,12,7
ayap,PH,"yoru, neon",2,44,211.5,0.82,61%,134.3,0.7,0.25,0.14,0.25,24%,25%,01-Apr,19,31,38,11,6,11
Garv,IN,"neon, raze, yoru",3,129,199,0.92,71%,131.7,0.68,0.24,0.13,0.13,26%,,0/6,19,88,96,31,17,17
Blackmambruh,TH,"cypher, vyse, killjoy",3,175,177.3,0.82,67%,117.2,0.63,0.23,0.09,0.13,34%,14%,Mar-21,22,110,134,40,16,22
Recoil,SA,"jett, iso, reyna",3,429,182.5,0.88,70%,121.8,0.65,0.27,0.07,0.1,28%,13%,Jun-46,23,279,318,117,28,41
Apinya,TH,"sova, breach, fade",3,180,180.4,0.93,69%,122.7,0.62,0.19,0.07,0.09,30%,6%,Jan-17,17,111,120,35,12,16
Tixinha,BR,cypher,1,26,174,0.74,62%,122.4,0.54,0.27,0.12,0.04,29%,,0/3,14,14,19,7,3,1
MoniOvess,ES,"sova, sage, fade",3,83,181.3,0.86,69%,123.3,0.67,0.22,0.05,0.05,40%,6%,Jan-18,25,56,65,18,4,4
pohler,US,"omen, chamber, clove",3,240,187.2,0.87,66%,126.5,0.66,0.31,0.08,0.1,25%,11%,Apr-37,21,159,182,75,20,24
cakeo,VN,"fade, tejo, omen",3,183,178.7,0.82,67%,123.7,0.63,0.27,0.04,0.09,26%,10%,Mar-31,22,115,140,49,8,17
Tenshi,NL,"fade, kayo, gekko",3,302,164.1,0.85,69%,110.2,0.6,0.29,0.05,0.06,33%,12%,May-41,21,182,213,87,15,19
endoist,TH,"raze, neon, jett",3,129,215.2,0.88,59%,139.2,0.74,0.14,0.12,0.08,29%,,0/6,23,95,108,18,16,10
Coco,CN,"breach, gekko, kayo",3,213,180.9,0.75,68%,111.2,0.58,0.37,0.07,0.04,32%,12%,Feb-17,20,123,164,78,15,8
wngml,KR,"sova, fade",2,51,183.3,0.69,53%,130.5,0.57,0.2,0.06,0.02,21%,6%,Jan-16,13,29,42,10,3,1
haby,KR,"killjoy, iso, vyse",3,71,194,0.75,56%,137.6,0.66,0.18,0.07,0.08,21%,8%,Jan-13,23,47,63,13,5,6
Ayrew,DK,"breach, sova, jett",3,128,189.2,0.9,64%,124.1,0.68,0.15,0.09,0.1,28%,15%,Feb-13,27,87,97,19,12,13
lowel,ES,"viper, killjoy, vyse",3,142,169,0.83,66%,116.9,0.58,0.22,0.04,0.04,27%,5%,Jan-22,15,83,100,31,5,6
Dip,UN,"killjoy, cypher",2,42,166.5,0.83,62%,122.5,0.57,0.19,0.07,0.02,32%,25%,02-Aug,17,24,29,8,3,1
drugy,UN,"omen, breach",2,42,176.5,0.79,64%,118,0.62,0.38,0.05,0.05,33%,29%,02-Jul,14,26,33,16,2,2
Z3RO,IT,"cypher, vyse, deadlock",3,146,161,0.8,71%,111,0.56,0.27,0.05,0.06,25%,3%,Jan-32,22,82,102,39,8,9
Zyria,DE,breach,1,22,169,1.07,77%,117.8,0.68,0.23,0.05,0.09,28%,,0/2,15,15,14,5,1,2
naughtybeans,UN,"killjoy, cypher",2,60,175.7,0.85,63%,117.5,0.65,0.15,0.08,0.08,31%,18%,02-Nov,20,39,46,9,5,5
Sorrow,AU,"cypher, brimstone, vyse",3,241,182.8,0.83,65%,123.4,0.66,0.2,0.07,0.09,37%,11%,May-45,20,160,192,48,18,22
angel of life,MV,"cypher, killjoy",2,50,206.5,0.92,60%,139.9,0.7,0.16,0.08,0.12,32%,20%,01-May,20,35,38,8,4,6
DistZulu,UN,"kayo, breach, omen",3,79,172,0.77,77%,89.6,0.63,0.43,0.06,0.06,31%,15%,Feb-13,16,50,65,34,5,5
Marky,SX,"neon, yoru, jett",3,157,197.6,0.91,69%,113.4,0.71,0.23,0.17,0.24,24%,,0/11,32,112,123,36,27,37
kappi,SE,"cypher, killjoy, iso",3,227,189.1,0.88,68%,119.4,0.65,0.21,0.07,0.07,23%,16%,Jun-37,24,148,168,47,16,15
BloxWich,AU,"vyse, killjoy",2,60,151.7,0.79,70%,106.4,0.55,0.23,0.05,0.03,26%,9%,01-Nov,17,33,42,14,3,2
Layzr,UN,"cypher, killjoy",2,41,217,0.89,78%,137.3,0.76,0.22,0.15,0.05,29%,,0/10,16,31,35,9,6,2
ketarys,VN,"omen, viper, sova",3,299,158.7,0.83,74%,105.3,0.57,0.41,0.03,0.04,28%,10%,May-49,23,171,206,124,9,12
hezacoil,TR,viper,1,45,203,0.81,67%,130.7,0.64,0.24,0.07,0.11,28%,,0/7,15,29,36,11,3,5
ReQz,GB,"gekko, breach, killjoy",3,155,173.3,0.86,68%,120.5,0.61,0.31,0.06,0.06,32%,25%,03-Dec,18,94,109,48,9,10
Yassien,EG,"fade, gekko, raze",3,103,186.8,0.89,68%,127.2,0.64,0.26,0.08,0.11,25%,10%,01-Oct,17,66,74,27,8,11
Bishepss,RU,"omen, brimstone, viper",3,116,183.6,0.86,67%,120.9,0.65,0.32,0.06,0.14,36%,43%,03-Jul,21,75,87,37,7,16
SEIDER,DK,"viper, harbor, fade",3,395,178.1,0.86,70%,116.4,0.62,0.33,0.07,0.11,32%,8%,Apr-48,23,245,286,132,29,43
Dazlly,SA,vyse,1,40,187.5,0.74,65%,128.8,0.65,0.3,0.23,0.08,26%,11%,01-Sep,19,26,35,12,9,3
jimbk,NL,"sova, viper, fade",3,126,165.3,0.9,71%,89.3,0.59,0.33,0.08,0.02,27%,7%,Jan-14,20,74,82,41,10,3
meow meow1,UN,cypher,1,41,170,0.84,54%,126,0.63,0.1,0.05,0.1,32%,17%,02-Dec,19,26,31,4,2,4
Mochirrrr,JP,"breach, fade, sova",3,180,174.1,0.85,68%,116.4,0.59,0.36,0.04,0.07,24%,12%,Mar-25,19,106,125,65,7,13
noi,PL,"breach, gekko, omen",3,437,169.9,0.8,68%,111.2,0.6,0.37,0.04,0.05,26%,10%,Jun-62,21,261,325,162,17,23
Tommy,US,"sova, skye, viper",3,159,164,0.77,67%,114.8,0.56,0.21,0.06,0.07,31%,13%,Mar-24,22,89,116,34,10,11
Verno,US,"tejo, sova, skye",3,483,169,0.8,70%,111.4,0.57,0.31,0.05,0.08,26%,15%,Nov-75,19,273,340,149,22,41
Skyy,US,"vyse, iso, deadlock",3,381,192.2,0.86,68%,127.5,0.66,0.25,0.11,0.13,31%,15%,Apr-27,23,253,295,94,42,50
H4Yu,KR,"skye, fade, sova",3,262,191.8,0.82,69%,123.6,0.65,0.43,0.07,0.08,23%,15%,May-34,22,170,208,112,19,20
R4M,JP,"omen, astra",2,104,179.8,0.78,65%,116.9,0.6,0.4,0.1,0.1,20%,,0/11,18,62,79,42,10,10
Sayf,SE,"breach, iso",2,38,200,0.77,71%,129.4,0.63,0.34,0.08,0.08,19%,,0/4,14,24,31,13,3,3
vvv,UN,"jett, clove",2,43,216,0.84,65%,144.3,0.74,0.26,0.12,0.09,26%,50%,01-Feb,17,32,38,11,5,4
Eligos,MY,"vyse, killjoy",2,38,171,0.82,50%,124.1,0.61,0.11,0,0.13,25%,11%,01-Sep,15,23,28,4,0,5
Nila,AU,"cypher, killjoy, breach",3,63,197.3,0.81,75%,130.9,0.7,0.35,0.05,0.06,19%,17%,01-Jun,20,44,54,22,3,4
DGR,FR,"omen, astra",2,194,157.8,0.8,73%,104.5,0.56,0.43,0.05,0.08,30%,8%,Feb-26,19,108,135,83,10,15
elaa,CH,"fade, omen, sova",3,196,172.7,0.82,67%,109.3,0.61,0.3,0.06,0.05,25%,6%,Feb-36,17,120,147,59,11,9
Tmy,SA,"killjoy, cypher",2,39,179.5,0.78,49%,114.7,0.64,0.1,0.05,0.08,31%,20%,02-Oct,14,25,32,4,2,3
Rabity,UN,omen,1,41,190,0.74,63%,116.3,0.61,0.34,0.07,0.1,31%,33%,01-Mar,13,25,34,14,3,4
monk,CN,"viper, kayo",2,59,171.7,0.81,64%,110.1,0.58,0.34,0.07,0.08,19%,,,15,34,42,20,4,5
Sabortzz,UN,"omen, viper, vyse",3,201,182.4,0.89,69%,123.1,0.67,0.25,0.07,0.06,31%,21%,May-24,22,135,152,50,14,12
phish,ID,"omen, yoru, sage",3,77,187.3,0.95,61%,124.4,0.68,0.17,0.12,0.1,30%,,0/6,29,52,55,13,9,8
rina,UN,"fade, sova, omen",3,205,161.9,0.8,70%,105.9,0.58,0.38,0.03,0.09,28%,20%,Aug-40,19,119,149,77,7,18
aurelia,CA,"omen, viper, cypher",3,241,170.3,0.78,69%,100.1,0.56,0.31,0.06,0.06,20%,10%,May-48,18,136,174,75,14,14
Sunset,PE,"omen, astra",2,77,188,0.78,62%,125.2,0.65,0.3,0.09,0.12,17%,13%,Feb-15,21,50,64,23,7,9
WIZARD101PLAYER,UN,"omen, viper, astra",3,78,187,0.74,69%,123.1,0.59,0.38,0.06,0.14,31%,,0/7,14,46,62,30,5,11
Viva,CN,"kayo, tejo, sova",3,334,158.1,0.79,72%,108.6,0.54,0.29,0.04,0.06,31%,4%,Jan-27,25,180,227,96,9,13
sieon,UN,"neon, jett, sova",3,78,194,0.77,64%,127.8,0.64,0.18,0.08,0.08,26%,22%,02-Sep,14,50,65,14,6,6
Art,AU,"vyse, killjoy, cypher",3,104,173,0.82,67%,119.1,0.61,0.19,0.05,0.05,21%,,0/18,20,63,77,20,5,5
mimier,TR,"tejo, kayo, breach",3,527,173.4,0.8,72%,115.9,0.59,0.44,0.05,0.06,25%,5%,Mar-55,20,311,387,234,25,31
Anka,UN,"breach, kayo, deadlock",3,118,176,0.82,74%,116.4,0.6,0.4,0.05,0.12,33%,21%,Mar-14,15,71,87,47,6,14
Agent Red,UN,"omen, astra",2,101,154.4,0.81,73%,99,0.5,0.54,0.03,0.11,32%,10%,01-Oct,16,50,62,55,3,11
Jerado,US,"omen, viper, brimstone",3,187,182.9,0.83,67%,119.3,0.67,0.22,0.06,0.04,28%,3%,Jan-31,23,125,151,42,12,7
ivy,BR,"waylay, neon, jett",3,233,184.5,0.81,61%,126.6,0.66,0.18,0.12,0.14,27%,19%,May-27,26,153,188,43,27,32
Papi,PH,"omen, viper, brimstone",3,374,168.9,0.86,71%,109.3,0.58,0.36,0.06,0.07,26%,10%,May-48,21,216,251,136,21,24
YuNo,ES,"omen, brimstone",2,271,170.4,0.88,69%,108.4,0.63,0.33,0.07,0.09,30%,7%,Feb-30,27,171,195,90,19,24
areyou,UN,"vyse, reyna, killjoy",3,70,212,0.84,60%,139.8,0.73,0.1,0.16,0.1,33%,8%,Jan-13,21,51,61,7,11,7
Happen,DE,"deadlock, cypher, fade",3,94,186,0.86,61%,123.5,0.64,0.17,0.11,0.03,32%,,0/9,19,60,70,16,10,3
mogzin,PT,"sova, fade, omen",3,381,176.5,0.82,66%,118.3,0.61,0.24,0.07,0.08,30%,12%,Sep-76,20,232,284,92,26,32
Yuicaw,TW,"cypher, killjoy, chamber",3,465,171.8,0.85,65%,116.1,0.6,0.22,0.09,0.1,28%,9%,Apr-47,24,281,332,103,43,46
onni,JP,"viper, omen, astra",3,193,170.6,0.87,68%,107.4,0.62,0.31,0.07,0.06,34%,15%,Apr-27,21,120,138,60,14,11
lidyuh,US,"omen, astra, viper",3,367,178.5,0.83,69%,120,0.61,0.38,0.08,0.08,28%,22%,Sep-41,22,223,270,140,28,30
ShadowKnight,DO,"iso, raze, jett",3,156,200.9,0.83,63%,136.6,0.71,0.15,0.12,0.15,27%,,0/19,25,110,133,23,19,24
swag,BR,"cypher, viper, vyse",3,249,183.1,0.9,67%,123.2,0.64,0.2,0.07,0.12,26%,11%,Mar-27,25,160,178,50,17,31
Flicker,KR,"sova, yoru, viper",3,168,175.8,0.81,70%,115.9,0.6,0.26,0.1,0.14,27%,6%,Jan-18,19,100,123,43,16,23
loubert,AU,"omen, brimstone, sova",3,162,173.9,0.79,68%,111.7,0.6,0.34,0.03,0.04,29%,5%,Jan-21,19,97,123,55,5,6
lleana,PH,"jett, raze, phoenix",3,445,220,0.91,68%,147.3,0.75,0.19,0.2,0.17,34%,6%,Jan-17,24,332,366,83,89,76
Vince,DE,"omen, astra, killjoy",3,334,179.3,0.83,69%,121.5,0.61,0.34,0.07,0.08,21%,3%,Jan-34,21,203,244,112,25,28
Zephyr,MN,"fade, vyse, cypher",3,70,194.3,0.76,64%,133.3,0.64,0.26,0.06,0.13,23%,12%,Feb-17,16,45,59,18,4,9
sap,UN,"brimstone, omen",2,40,166,0.83,73%,103.9,0.6,0.48,0.05,0.1,39%,,0/6,15,24,29,19,2,4
Hainzu,UN,"omen, deadlock, sova",3,241,183.8,0.81,66%,119.7,0.66,0.3,0.05,0.09,31%,9%,Mar-33,28,158,195,72,13,21
Lyan,UN,"neon, raze, yoru",3,159,203.8,0.89,69%,130.8,0.73,0.15,0.14,0.17,24%,5%,Jan-20,22,116,130,24,23,27
snappypikachu69,UN,"sage, omen, astra",3,385,173.2,0.76,66%,118.3,0.61,0.38,0.04,0.09,25%,17%,Nov-63,25,233,308,147,17,33
Miyu,ID,"jett, neon",2,195,206.1,0.91,71%,132.3,0.73,0.23,0.19,0.16,21%,,0/12,25,143,158,45,37,32
elysian,DE,"viper, sova, omen",3,155,174.6,0.88,67%,122.7,0.62,0.22,0.05,0.09,30%,6%,Jan-17,19,96,109,34,7,14
Wicked,UN,"fade, jett, sova",3,166,191.9,0.85,64%,133.6,0.67,0.22,0.13,0.17,28%,8%,Jan-13,28,112,132,36,21,29
Jul¡a,SI,"brimstone, fade",2,45,181.5,0.88,76%,108.9,0.67,0.42,0.02,0.07,32%,,0/8,15,30,34,19,1,3
reddi,US,"cypher, fade, sova",3,158,174.1,0.82,67%,118.4,0.59,0.27,0.06,0.11,35%,6%,Jan-16,19,93,114,43,9,17
Rize,JP,"vyse, killjoy",2,35,156.5,0.79,51%,128.2,0.63,0.09,0,0.06,43%,13%,01-Aug,17,22,28,3,0,2
gon,AU,"fade, iso",2,73,161.3,0.79,70%,114.9,0.56,0.37,0.05,0.1,25%,,0/6,22,41,52,27,4,7
cauanzin,BR,"gekko, kayo, sova",3,229,190.1,0.87,69%,123.6,0.65,0.28,0.09,0.07,24%,13%,Feb-15,20,148,171,65,21,17
mxntz,UN,"fade, iso",2,36,199,0.73,61%,66.4,0.61,0.39,0.06,0.11,25%,14%,01-Jul,13,22,30,14,2,4
Kongi,AT,"breach, kayo, viper",3,203,188.4,0.81,68%,117.4,0.65,0.29,0.06,0.09,27%,12%,Mar-26,22,131,162,59,12,18
zolters,DE,"tejo, sova, breach",3,111,172,0.89,67%,116.9,0.63,0.24,0.06,0.1,23%,12%,Feb-17,23,70,79,27,7,11
flyuh,US,"fade, sova, kayo",3,159,179.6,0.83,64%,125.6,0.64,0.25,0.06,0.09,26%,18%,Mar-17,23,102,123,40,10,14
Tag,IT,"viper, killjoy, vyse",3,248,177.3,0.93,68%,116.9,0.63,0.15,0.07,0.1,26%,16%,May-31,19,156,168,37,17,24
xeus,TR,"yoru, raze, neon",3,484,211.1,0.96,67%,133.2,0.75,0.19,0.15,0.17,36%,3%,Jan-30,24,361,377,90,73,83
Morphine,MX,"cypher, vyse",2,87,166.5,0.82,71%,111,0.67,0.17,0.1,0.03,45%,6%,Jan-17,23,58,71,15,9,3
angel,UN,"jett, raze, neon",3,117,210.7,0.99,62%,137.7,0.74,0.16,0.14,0.18,35%,10%,01-Oct,20,87,88,19,16,21
tax,AU,"killjoy, cypher, vyse",3,79,211.3,0.81,70%,122.4,0.7,0.19,0.08,0.05,25%,21%,Mar-14,19,55,68,15,6,4
rubii,ES,"killjoy, omen, kayo",3,133,183.8,0.93,65%,118.6,0.64,0.29,0.09,0.14,33%,,0/10,17,85,91,38,12,18
flasHH,US,"neon, reyna, jett",3,431,207.1,0.85,64%,137.7,0.7,0.19,0.15,0.17,27%,11%,May-46,25,301,356,80,64,75
k4rma,PH,omen,1,45,170.5,0.78,71%,102.2,0.64,0.29,0.07,0.11,25%,20%,01-May,20,29,37,13,3,5
vale,PR,"killjoy, cypher, chamber",3,178,189.7,0.81,58%,129.7,0.66,0.11,0.07,0.1,40%,8%,Mar-36,17,117,145,20,12,17
Tiz,VN,"omen, astra",2,114,178.2,0.77,66%,119.2,0.62,0.28,0.04,0.09,30%,18%,Apr-22,18,71,92,32,4,10
HelenCoco,KR,"reyna, vyse, breach",3,159,191.1,0.82,65%,133.4,0.66,0.18,0.1,0.11,28%,,0/19,24,105,128,28,16,17
Royal,BR,"viper, cypher",2,59,159.7,0.95,69%,113.9,0.59,0.2,0.1,0.08,36%,67%,02-Mar,17,35,37,12,6,5
manar,SA,"waylay, neon, raze",3,180,177.8,0.79,65%,116.1,0.62,0.27,0.11,0.13,32%,4%,Jan-27,25,111,140,49,19,24
liazzi,BR,"breach, deadlock, yoru",3,466,165.9,0.84,72%,109.7,0.58,0.26,0.06,0.1,27%,11%,Jun-54,22,271,321,123,28,45
Add3r,US,"vyse, cypher, omen",3,151,187.7,0.89,70%,124,0.67,0.21,0.11,0.12,36%,8%,Jan-13,20,101,114,31,16,18
mila,UN,"breach, killjoy",2,117,152.2,0.78,67%,99.8,0.53,0.38,0.09,0.06,39%,5%,Jan-22,19,62,80,45,10,7
TheNightChe,TR,"omen, killjoy",2,63,186,0.96,63%,117.9,0.68,0.22,0.06,0.11,24%,,0/6,16,43,45,14,4,7
KhenZy,AU,"jett, raze",2,53,198.7,0.93,57%,66.2,0.72,0.15,0.11,0.21,38%,50%,01-Feb,20,38,41,8,6,11
Lexierna,ID,"kayo, breach, yoru",3,138,179,0.81,65%,110.7,0.59,0.25,0.08,0.1,25%,14%,Feb-14,23,82,101,34,11,14
wezzy,TR,omen,1,59,196,0.88,63%,141.2,0.75,0.19,0.05,0.17,44%,,0/11,29,44,50,11,3,10
NicoleG,PH,"killjoy, vyse",2,67,164,0.81,61%,111.5,0.58,0.1,0.07,0.07,25%,13%,01-Aug,17,39,48,7,5,5
patip,BR,"fade, sova, skye",3,315,158.3,0.8,74%,112.2,0.56,0.3,0.04,0.07,30%,8%,May-61,18,177,222,94,12,21
Creamydreamy,SE,"deadlock, viper, gekko",3,201,154.2,0.77,71%,98.5,0.51,0.43,0.05,0.1,26%,20%,Apr-20,17,102,132,87,11,20
maniek,PL,"yoru, neon, jett",3,286,199.9,0.91,62%,135.1,0.72,0.15,0.16,0.2,28%,24%,Apr-17,26,206,227,42,47,56
Ayumi,BR,"breach, kayo",2,36,170,0.73,58%,106.7,0.61,0.22,0.06,0.14,31%,,0/5,14,22,30,8,2,5
Gene,UN,"waylay, neon, vyse",3,100,211.2,0.87,68%,140.6,0.72,0.19,0.15,0.12,33%,14%,Feb-14,17,72,83,19,15,12
MISO,PH,"harbor, omen",2,92,164.5,0.84,65%,109.2,0.62,0.27,0.07,0.11,29%,31%,Apr-13,17,57,68,25,6,10
MOOP,GB,"sova, tejo, breach",3,117,162.5,0.82,62%,111.6,0.6,0.17,0.08,0.09,22%,11%,Feb-19,16,70,85,20,9,11
ZesBeeW,SG,"astra, omen, jett",3,325,168.1,0.89,66%,105,0.63,0.29,0.06,0.13,25%,19%,Sep-47,28,206,231,95,19,40
Zaki,MX,"jett, phoenix, raze",3,268,195.9,0.88,62%,127.4,0.72,0.13,0.15,0.17,29%,6%,Feb-36,25,194,220,35,40,46
ting2k5,VN,"viper, yoru, neon",3,183,186.3,0.87,64%,125.8,0.67,0.16,0.08,0.14,29%,19%,Mar-16,24,122,140,30,14,25
baddyG,PL,"brimstone, omen",2,159,175.4,0.8,72%,111.9,0.63,0.33,0.08,0.07,22%,5%,Jan-20,22,100,125,53,13,11
Chocopaofu,TW,"yoru, killjoy",2,40,222,0.91,58%,150.5,0.73,0.15,0.05,0.15,31%,,0/4,16,29,32,6,2,6
rDeeW,AU,"jett, cypher, viper",3,223,189.5,0.91,62%,127.7,0.7,0.18,0.09,0.09,30%,13%,Mar-23,21,156,171,40,21,21
Klaus,AR,"sova, fade",2,42,174.5,0.81,69%,106.3,0.6,0.24,0.05,0.07,26%,,0/7,13,25,31,10,2,3
April,NI,"yoru, viper",2,42,195.5,0.79,64%,132.6,0.62,0.33,0.07,0.12,37%,,0/5,16,26,33,14,3,5
taru,JP,"killjoy, vyse, cypher",3,198,180.8,0.78,62%,123.1,0.61,0.2,0.09,0.11,27%,15%,Jun-39,19,120,153,40,17,21
nori,CL,"viper, omen",2,107,179.2,0.77,55%,118.3,0.62,0.3,0.07,0.1,33%,21%,Mar-14,16,66,86,32,7,11
Long,VN,"fade, kayo, breach",3,363,159.5,0.73,74%,105.5,0.52,0.53,0.06,0.09,18%,8%,Apr-52,18,190,261,192,21,32
ITaoEartH,TH,"sova, breach, fade",3,444,171,0.82,70%,111.9,0.59,0.3,0.07,0.09,29%,13%,Jun-45,19,263,322,133,29,41
ibonata,TR,"fade, breach, gekko",3,168,164,0.87,68%,105.3,0.58,0.38,0.07,0.1,20%,,0/17,20,97,112,64,11,16
Lazare,FR,"astra, omen, viper",3,79,168.5,0.81,63%,116.9,0.59,0.24,0.09,0.11,31%,18%,02-Nov,20,47,58,19,7,9
micaela,AR,"harbor, deadlock, breach",3,287,158.8,0.8,69%,104.1,0.55,0.36,0.06,0.08,41%,8%,Feb-25,19,158,197,103,17,24
semik,UZ,"cypher, deadlock, neon",3,351,193.5,0.87,66%,130.8,0.69,0.2,0.11,0.15,32%,9%,Apr-45,30,241,277,70,37,52
flare,VN,"omen, kayo, killjoy",3,231,171.2,0.8,73%,117.6,0.59,0.43,0.04,0.05,27%,17%,Apr-23,17,136,171,99,9,12
oranges,UN,"fade, yoru, sova",3,255,187,0.82,66%,125.6,0.64,0.24,0.09,0.13,30%,11%,Apr-36,23,163,199,60,24,32
m4ndzin,BR,"breach, harbor, kayo",3,238,179.3,0.83,71%,119,0.61,0.35,0.07,0.09,24%,15%,Apr-27,17,144,173,84,16,22
glovee,TR,"sova, breach, fade",3,323,167.1,0.81,69%,108.5,0.58,0.33,0.04,0.1,26%,17%,Apr-24,21,186,229,107,14,31
hiroronn,JP,"viper, sova, gekko",3,327,169.7,0.88,69%,115.5,0.61,0.19,0.06,0.1,30%,10%,Apr-41,18,201,229,63,21,33
Kyujinn,US,"vyse, cypher, deadlock",3,266,175.4,0.79,64%,115.3,0.62,0.25,0.06,0.06,36%,10%,May-48,22,166,209,67,17,16
tixx,AU,"cypher, viper",2,39,158,0.92,69%,111.3,0.62,0.15,0.08,0.13,37%,25%,01-Apr,15,24,26,6,3,5
roxas,IT,"sova, fade",2,78,167.3,0.88,60%,118.2,0.58,0.1,0.03,0.03,32%,36%,04-Nov,16,45,51,8,2,2
UR,JP,"iso, yoru",2,235,201.4,0.85,65%,135,0.7,0.23,0.11,0.16,22%,15%,Mar-20,26,164,192,55,26,37
Monkey02,UN,"sova, jett",2,80,184,0.75,63%,125.1,0.61,0.23,0.09,0.09,27%,,0/14,18,49,65,18,7,7
reforminq,US,"clove, sova, jett",3,72,192.5,0.76,64%,132.5,0.67,0.19,0.07,0.06,34%,33%,04-Dec,18,48,63,14,5,4
miya,JP,"sova, fade",2,104,185.8,0.86,74%,127.6,0.68,0.26,0.05,0.09,24%,10%,01-Oct,17,71,83,27,5,9
biazik,BR,"sova, neon, yoru",3,329,177.5,0.85,69%,119.8,0.6,0.21,0.07,0.09,24%,6%,Mar-47,22,196,231,70,23,30
SWERL,AU,"neon, raze",2,170,194.3,0.95,66%,127.9,0.73,0.14,0.18,0.16,29%,,,24,124,131,24,30,27
snipezqc,UN,"neon, waylay",2,38,182,0.78,63%,110.1,0.66,0.24,0.08,0.18,25%,,0/4,14,25,32,9,3,7
FlashFloss,ID,sova,1,28,175,0.85,68%,127.3,0.61,0.14,0.11,0.07,25%,100%,01-Jan,17,17,20,4,3,2
Nia,ES,"neon, omen, viper",3,187,187.2,0.84,66%,120.6,0.66,0.24,0.1,0.14,23%,9%,Mar-32,28,123,147,45,18,26
Shinobu,UN,"brimstone, omen, fade",3,201,180,0.79,68%,111.5,0.62,0.35,0.09,0.06,32%,14%,May-37,17,124,156,71,18,13
Jixey,IT,sova,1,35,205.5,0.87,69%,130.8,0.74,0.26,0.06,0.09,53%,20%,01-May,15,26,30,9,2,3
ORI4K,FR,"sova, fade",2,148,163.4,0.81,65%,114.8,0.56,0.24,0.04,0.07,28%,8%,Feb-26,16,83,103,35,6,11
Cold,ID,"jett, neon, chamber",3,76,223.5,0.85,63%,142.8,0.75,0.14,0.24,0.16,26%,,0/3,20,57,67,11,18,12
D1splace,UN,"omen, viper",2,34,177.5,0.75,65%,122.6,0.62,0.26,0.03,0.06,40%,,0/9,16,21,28,9,1,2
xenom,BR,"viper, astra, omen",3,483,158.5,0.83,71%,107.8,0.57,0.31,0.04,0.07,33%,12%,Aug-69,19,274,332,150,19,34
PapaSmurf,US,"omen, sova, jett",3,1034,183.9,0.82,68%,123.4,0.61,0.31,0.06,0.1,20%,12%,17/147,21,631,770,322,63,106
Rebo,US,"omen, viper, astra",3,407,170.5,0.82,66%,110.5,0.59,0.31,0.09,0.11,24%,16%,Nov-68,18,239,291,125,38,44
