Player,Country,Agents,NumAgents,Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Felix,DE,"omen, brimstone",2,142,220.6,1.19,75%,143,0.75,0.41,0.08,0.06,24%,10%,Feb-21,21,107,90,58,11,8
Kirarimy,UN,"cypher, killjoy",2,144,223.6,1.22,66%,148.7,0.83,0.18,0.08,0.1,30%,29%,Jun-21,24,120,98,26,12,14
Eraggi,NO,"breach, deadlock, viper",3,59,237.7,1.27,78%,151,0.88,0.25,0.08,0.14,26%,,0/4,22,52,41,15,5,8
Kon,PH,"chamber, deadlock, clove",3,382,230.8,1.2,70%,153.1,0.81,0.28,0.11,0.08,35%,9%,May-55,25,309,257,106,42,32
Scales,CN,viper,1,128,222.3,1.24,70%,140.7,0.8,0.16,0.09,0.07,36%,,,22,103,83,20,12,9
Brinks,BR,"omen, killjoy, brimstone",3,288,213.8,1.24,76%,139.5,0.76,0.34,0.1,0.06,26%,17%,Jun-36,27,219,177,97,28,17
Kaoru,JP,neon,1,56,249,1.11,73%,158.9,0.88,0.21,0.18,0.16,43%,,0/5,33,49,44,12,10,9
skuba,US,"astra, viper, cypher",3,671,203,1.27,76%,134.4,0.76,0.29,0.06,0.06,26%,16%,19/119,31,510,401,193,41,43
forbanz,BR,"raze, jett, neon",3,288,260.6,1.21,68%,165.9,0.91,0.16,0.18,0.21,26%,14%,Feb-14,26,262,216,45,53,60
leaf,US,"viper, killjoy, vyse",3,198,230.3,1.21,75%,148.6,0.81,0.26,0.08,0.08,24%,29%,Oct-35,24,161,133,51,15,16
hamzaw0w,TR,"omen, gekko",2,59,237.3,1.24,75%,165.1,0.88,0.24,0.07,0.03,30%,14%,01-Jul,18,52,42,14,4,2
Elders,UN,"skye, fade, sova",3,53,196,1.06,70%,103.1,0.68,0.3,0,0.02,25%,22%,02-Sep,15,36,34,16,0,1
PJAY,TH,"sova, tejo, omen",3,107,223.6,1.2,75%,141.3,0.83,0.36,0.1,0.07,28%,15%,Feb-13,26,89,74,38,11,7
Poly,TH,"sova, fade, kayo",3,416,209.7,1.28,78%,136.5,0.78,0.32,0.07,0.06,28%,13%,Jun-47,23,323,252,134,28,26
KEN,KR,neon,1,92,250.5,1.27,72%,158.7,0.86,0.21,0.14,0.17,25%,,0/8,23,79,62,19,13,16
idiot,UN,"sova, reyna",2,61,244,1.31,75%,150.1,0.84,0.33,0.1,0.13,24%,33%,01-Mar,18,51,39,20,6,8
RAJIN,UN,"omen, viper",2,44,204.5,1.17,77%,132.2,0.77,0.43,0.11,0.05,23%,20%,01-May,19,34,29,19,5,2
Fetiz,MN,"neon, fade",2,77,239.8,1.16,77%,146.6,0.83,0.26,0.09,0.14,26%,,0/14,20,64,55,20,7,11
eleo,IL,sova,1,155,208.4,1.12,70%,142.5,0.72,0.32,0.05,0.09,26%,26%,Jul-27,23,112,100,50,8,14
d3mur,TR,"neon, raze, jett",3,199,240.1,1.19,71%,157.2,0.88,0.2,0.19,0.14,27%,38%,May-13,31,175,147,39,37,27
Lizz,GB,viper,1,21,236,1.13,71%,150.2,0.86,0.24,0.05,0,24%,,0/4,18,18,16,5,1,0
kendo,GB,"killjoy, cypher",2,95,180.6,1.29,74%,127.9,0.69,0.15,0.03,0.03,31%,27%,Apr-15,20,66,51,14,3,3
canezerra,US,"iso, jett, reyna",3,978,260,1.22,72%,163.5,0.91,0.26,0.17,0.14,28%,18%,Oct-56,30,888,725,258,169,136
yaii,US,"astra, clove",2,38,296.5,1.03,68%,200.6,0.95,0.34,0.08,0.18,35%,,0/9,18,36,35,13,3,7
kaajak,PL,"neon, sage, yoru",3,985,234.6,1.23,72%,151.6,0.84,0.17,0.18,0.14,36%,23%,18/80,32,823,667,165,182,138
azys,PH,"raze, jett, tejo",3,381,244.2,1.16,68%,158.3,0.84,0.19,0.15,0.13,30%,12%,May-42,29,321,277,72,59,49
sketchie,UN,"raze, yoru",2,40,259.5,1.03,68%,169.7,0.85,0.2,0.13,0.18,17%,20%,01-May,18,34,33,8,5,7
Rayzon,FR,"yoru, neon",2,45,271,1.14,73%,178.4,0.89,0.33,0.24,0.24,34%,100%,02-Feb,26,40,35,15,11,11
nom,US,"omen, killjoy, skye",3,96,228.4,1,75%,154.2,0.75,0.52,0.06,0.08,29%,6%,Jan-16,24,72,72,50,6,8
Kaoticc,VN,"raze, yoru, jett",3,585,254.2,1.19,75%,165,0.88,0.2,0.21,0.17,22%,8%,Mar-37,33,513,432,118,121,101
misu,SE,"jett, yoru",2,92,243.8,1.19,73%,159,0.89,0.2,0.17,0.12,27%,18%,02-Nov,26,82,69,18,16,11
Wo0t,TR,"tejo, gekko, iso",3,726,232.4,1.16,71%,150.9,0.81,0.29,0.13,0.1,35%,27%,16/60,28,589,508,207,93,75
17leanndro,CL,"yoru, neon, raze",3,60,239.3,1.35,68%,162.5,0.9,0.12,0.15,0.15,34%,67%,02-Mar,20,54,40,7,9,9
Favian,TR,"neon, breach, raze",3,290,224.8,1.18,69%,144.1,0.81,0.27,0.11,0.1,35%,13%,Apr-32,24,235,199,77,33,28
happywei,TW,"cypher, killjoy, iso",3,249,231,1.15,69%,154.2,0.8,0.22,0.15,0.12,45%,8%,Feb-26,25,200,174,54,30,24
Fahniez,TH,"killjoy, jett",2,81,251.5,1.33,70%,163.6,0.89,0.11,0.16,0.17,34%,33%,02-Jun,25,72,54,9,13,14
guuih,BR,"cypher, viper, vyse",3,279,197.9,1.2,77%,131.3,0.71,0.27,0.06,0.05,31%,18%,May-28,20,197,164,75,18,15
Leare,EN,"yoru, jett, sage",3,87,229.8,1.19,68%,150.5,0.8,0.21,0.14,0.08,29%,13%,01-Aug,20,70,59,18,12,7
Dano,MX,"breach, sova, gekko",3,301,195.3,1.2,77%,129.1,0.71,0.4,0.04,0.05,32%,18%,Jul-38,20,214,179,119,13,15
Fixy,MY,"jett, neon, raze",3,322,259.3,1.24,75%,164.4,0.92,0.2,0.18,0.15,24%,8%,01-Dec,30,296,238,63,58,47
SereNa,KR,"killjoy, cypher",2,104,215.8,1.13,69%,140.6,0.75,0.17,0.13,0.05,26%,13%,Feb-16,18,78,69,18,13,5
angel,TW,"sova, clove, skye",3,153,230.3,1.1,75%,154.1,0.88,0.27,0.08,0.07,46%,19%,May-27,32,134,122,41,12,11
bstrdd,CL,"yoru, jett, raze",3,447,243.7,1.21,71%,152,0.84,0.26,0.16,0.16,28%,36%,13/36,28,377,312,114,72,71
Addi,GB,"yoru, clove, chamber",3,843,249.5,1.14,71%,156.9,0.9,0.25,0.13,0.13,30%,13%,Oct-76,37,758,664,208,111,109
landzin,BR,"brimstone, fade, sova",3,169,185.9,1.06,78%,127,0.75,0.36,0.05,0.06,26%,17%,May-30,23,126,119,60,8,10
ness,TR,"breach, sova, vyse",3,789,204.6,1.15,76%,139.3,0.71,0.35,0.06,0.06,34%,14%,16/115,26,557,484,274,45,50
yomamagaming,UN,"yoru, neon, raze",3,94,240,1.09,69%,162.7,0.87,0.2,0.13,0.23,35%,30%,03-Oct,22,82,75,19,12,22
Kai,CN,"yoru, neon, vyse",3,293,244.7,1.15,71%,155,0.85,0.19,0.21,0.15,25%,,,24,250,217,56,41,29
saikot1c,UN,omen,1,117,230,1.13,74%,150,0.8,0.32,0.08,0.04,27%,21%,Mar-14,22,94,83,37,9,5
hodhu,MV,"fade, cypher",2,37,240,0.97,68%,164.4,0.76,0.24,0.08,0.08,19%,44%,04-Sep,16,28,29,9,3,3
riri,LV,"sova, fade",2,187,212,1.18,79%,139.2,0.75,0.27,0.06,0.06,32%,16%,May-32,23,141,120,50,11,11
biel99,BR,"deadlock, cypher, yoru",3,59,219.7,1.27,66%,139.9,0.8,0.2,0.12,0.03,32%,,0/5,19,47,37,12,7,2
Jerrwin,IN,"jett, yoru, waylay",3,1253,254.9,1.19,72%,158.9,0.88,0.21,0.21,0.16,23%,11%,Sep-84,32,1097,923,263,268,199
JayV,AU,breach,1,71,212,1,83%,138.9,0.72,0.41,0.11,0.06,33%,12%,Feb-17,27,51,51,29,8,4
catharu,UN,"cypher, sova",2,32,255.5,1.07,69%,150.3,0.91,0.13,0.13,0.03,20%,11%,01-Sep,15,29,27,4,4,1
NiSMO,LB,"breach, skye, kayo",3,306,201.4,1.08,78%,132.5,0.71,0.58,0.08,0.11,30%,4%,Jan-27,29,218,201,176,25,35
anesilia,RU,"breach, kayo, deadlock",3,750,212.7,1.13,78%,140.9,0.75,0.45,0.07,0.06,27%,17%,Dec-71,29,559,494,334,49,44
miyara,US,"sova, tejo, gekko",3,333,205.3,1.17,76%,138.8,0.71,0.3,0.07,0.04,25%,13%,Jul-52,28,238,203,100,24,14
fish,BR,"kayo, harbor, cypher",3,130,207.5,1.04,75%,144.8,0.72,0.36,0.1,0.06,28%,11%,Feb-19,25,94,90,47,13,8
nvrfear,UA,"fade, sova, gekko",3,427,200.5,1.16,75%,137.4,0.74,0.31,0.06,0.06,34%,18%,Oct-55,25,318,275,134,26,25
jas,PL,"neon, jett, raze",3,629,244.1,1.24,74%,155.4,0.86,0.18,0.21,0.18,31%,15%,Jun-41,28,542,436,114,131,112
999kvmil,PL,"fade, sova, gekko",3,390,197.1,1.15,75%,132.2,0.73,0.31,0.03,0.06,26%,22%,Dec-54,18,283,247,119,10,25
PelT,CA,astra,1,23,192,1,70%,136.9,0.65,0.39,0.13,0.17,48%,,0/3,15,15,15,9,3,4
Fanca,IT,jett,1,78,271.3,1.18,72%,169.9,0.91,0.12,0.24,0.15,36%,,0/6,24,71,60,9,19,12
Strange Quark,AU,"breach, yoru",2,42,223,1.1,69%,145.5,0.79,0.14,0.14,0.02,35%,11%,01-Sep,20,33,30,6,6,1
Beaver,CA,"sova, fade",2,45,220,0.97,76%,161.4,0.76,0.38,0.02,0.02,38%,,0/6,18,34,35,17,1,1
Hals,JP,"yoru, neon, viper",3,469,223.4,1.25,74%,144.7,0.81,0.17,0.13,0.1,28%,18%,Jul-39,29,381,306,78,60,46
auri,UN,"viper, vyse",2,149,236.7,1.17,72%,161.9,0.82,0.27,0.14,0.11,35%,14%,Mar-21,30,122,104,40,21,16
